16,5,3,3,6,27,92,82,104,89
14,5,3,3,6,28,92,83,105,90
14,5,3,3,6,28,92,84,105,90
15,5,4,4,6,28,93,84,105,90
16,5,4,4,6,28,92,84,105,90
16,5,4,4,6,28,93,84,106,90
15,5,4,4,6,28,93,84,106,90
19,6,4,4,7,27,93,85,107,91
17,5,4,4,6,27,93,85,107,91
10,9,7,7,5,27,96,89,109,100
16,27,14,31,55,30,109,97,108,104
17,27,15,34,55,33,109,97,110,104
17,27,14,34,55,33,110,97,110,105
16,55,60,65,65,31,98,91,95,93
15,54,60,65,64,31,99,91,94,93
16,59,65,72,70,30,91,88,90,95
16,61,69,76,71,26,77,79,75,82
17,62,75,80,73,30,78,80,78,86
18,62,76,80,74,32,78,80,78,86
15,68,79,80,96,28,76,81,81,94
14,67,80,82,93,31,78,83,81,93
17,61,76,83,74,28,85,84,77,80
17,60,67,78,76,27,94,93,97,115
16,60,66,75,73,26,94,93,97,109
16,59,66,76,74,27,95,93,98,111
16,56,58,64,64,28,94,92,105,107
18,57,60,64,63,28,96,93,106,108
17,22,12,38,54,39,102,93,110,100
23,9,6,5,9,31,92,81,109,93
26,8,6,7,8,31,95,82,110,95
26,8,6,7,8,30,94,81,109,93
12,5,3,3,6,29,90,80,108,89
10,5,3,3,6,27,91,80,109,89
18,4,2,3,4,27,90,80,107,89
14,3,1,2,2,27,90,82,106,91
13,3,1,3,3,25,91,82,106,91
12,2,1,1,4,23,95,86,106,88
12,2,0,1,5,23,96,86,108,87
11,2,0,1,5,23,96,86,108,87
14,2,1,2,6,26,103,93,112,89
16,3,3,4,7,27,101,90,108,90
16,3,3,4,7,27,101,90,108,90
16,3,3,4,7,27,101,90,108,90
16,4,4,5,7,26,101,90,108,90
16,4,4,5,8,26,101,91,108,90
16,4,4,4,7,25,108,97,115,97
15,5,5,8,14,23,113,101,116,102
16,4,5,8,46,24,112,100,113,100
13,5,9,18,49,26,115,100,113,107
13,5,9,18,49,26,114,99,111,105
13,5,9,19,49,26,114,99,111,107
11,5,18,35,47,27,120,101,121,125
10,7,21,50,52,30,120,104,122,134
6,20,53,58,56,29,112,104,124,126
6,44,57,58,56,31,113,103,122,125
12,58,60,61,64,30,115,105,126,133
11,58,61,61,64,28,113,104,123,131
12,59,63,64,67,29,115,104,124,131
13,60,63,64,67,29,114,103,124,129
19,60,62,67,71,24,109,106,120,132
22,59,62,69,70,22,110,108,113,126
21,60,63,70,71,26,111,108,115,127
22,58,66,78,74,26,107,104,105,118
23,60,69,80,76,29,110,107,109,122
17,59,69,78,73,30,110,109,108,120
18,59,69,79,74,30,109,107,106,121
16,61,81,86,79,27,110,106,101,119
18,58,84,88,80,28,103,98,95,111
19,59,93,92,80,26,108,102,98,118
21,59,97,95,83,27,96,90,84,97
21,58,93,94,82,27,97,90,85,101
22,59,97,95,84,28,93,85,80,90
23,57,89,93,84,27,94,85,78,85
25,57,87,94,85,28,97,89,85,100
21,59,83,87,79,30,101,96,95,112
22,58,80,85,78,28,98,93,95,113
19,58,74,81,76,30,89,84,87,96
19,59,72,80,75,28,86,83,86,97
9,60,61,64,63,33,86,84,98,97
13,53,56,58,59,31,91,86,98,95
14,54,56,59,59,30,91,86,98,94
13,54,55,57,57,34,90,85,99,93
12,53,55,57,57,33,91,85,99,94
16,40,42,45,30,28,93,88,106,98
15,39,43,45,22,27,91,87,104,97
17,12,9,8,7,27,92,85,106,90
16,7,5,5,7,30,91,84,109,91
17,8,5,5,7,30,91,85,109,91
15,5,4,4,7,30,93,86,110,90
16,5,4,4,7,27,93,86,110,89
16,4,3,3,7,29,94,87,111,89
15,4,2,3,7,27,94,87,111,89
14,4,2,3,6,28,95,88,111,90
14,4,2,3,6,27,95,88,111,90
13,4,2,3,5,28,95,88,111,94
13,4,2,3,5,27,95,88,110,94
13,4,2,3,5,28,95,88,110,94
13,5,4,4,5,25,96,89,109,97
13,6,4,4,5,26,97,89,109,97
14,7,6,5,6,25,99,90,107,99
15,8,6,5,6,27,96,89,106,96
15,11,8,5,7,26,94,87,104,93
14,11,8,5,7,26,96,89,105,94
14,11,8,5,6,27,96,89,105,94
13,41,41,47,12,33,90,85,106,97
15,52,52,53,49,33,92,88,107,103
